,actor_id,actor_name,degree_centrality
361,nm0000102,Kevin Bacon,0.0012497024517971911
780,nm0000555,Judd Nelson,0.0012497024517971911
431,nm0765597,Peter Sarsgaard,0.0012497024517971911
830,nm0916406,Mark Webber,0.0012497024517971911
1647,nm0005017,Katie Holmes,0.0012497024517971911
1978,nm0004950,Jennifer Garner,0.0012497024517971911
173,nm0908914,Dee Wallace,0.0012497024517971911
3499,nm0001643,Linnea Quigley,0.0012497024517971911
2587,nm0005417,Lin Shaye,0.0012199476315163057
1649,nm0165101,Patricia Clarkson,0.0012199476315163057
1876,nm0005346,Tara Reid,0.0012199476315163057
827,nm0000329,Jackie Chan,0.0012199476315163057
3922,nm0366389,Kevin Hart,0.0012199476315163057
1082,nm0749263,Mark Ruffalo,0.0012199476315163057
3840,nm1107001,Anthony Mackie,0.0012199476315163057
1397,nm0004937,Jamie Foxx,0.0012199476315163057
10483,nm4028885,Nivin Pauly,0.0012199476315163057
545,nm0005188,James Marsden,0.0012199476315163057
14442,nm5771748,Estrella Almada Cervantes,0.0012199476315163057
11174,nm3966456,Taapsee Pannu,0.0012199476315163057
16761,nm1232808,Trae Ireland,0.0012199476315163057
12175,nm2310589,Kentucker Audley,0.0012199476315163057
1972,nm0005476,Hilary Swank,0.0012199476315163057
2919,nm0543383,Taryn Manning,0.0012199476315163057
4366,nm0015196,Malin Akerman,0.00119019281123542
1430,nm0947338,Anton Yelchin,0.00119019281123542
1883,nm0799777,J.K. Simmons,0.00119019281123542
3888,nm0897201,Joseph Vijay,0.00119019281123542
3312,nm0925220,Michael Jai White,0.00119019281123542
268,nm0000172,Harvey Keitel,0.00119019281123542
2577,nm0266824,Dakota Fanning,0.00119019281123542
2181,nm0000412,Andy Garcia,0.00119019281123542
2042,nm0000932,Halle Berry,0.00119019281123542
2558,nm0000620,Mickey Rourke,0.00119019281123542
2656,nm0000245,Robin Williams,0.00119019281123542
219,nm0004874,Vin Diesel,0.00119019281123542
790,nm0687625,Glenn Plummer,0.00119019281123542
5319,nm1519680,Saoirse Ronan,0.00119019281123542
4204,nm0342029,Frank Grillo,0.00119019281123542
111,nm0000169,Tommy Lee Jones,0.00119019281123542
101,nm0000228,Kevin Spacey,0.00119019281123542
992,nm0000920,Patrick Bergin,0.00119019281123542
120,nm0000422,John Goodman,0.0011604379909545346
4054,nm0396812,Danny Huston,0.0011604379909545346
4980,nm0695177,Prakash Raj,0.0011604379909545346
8117,nm0611889,Chris Mulkey,0.0011604379909545346
90,nm0000293,Sean Bean,0.0011604379909545346
10914,nm2233462,Elissa Dowling,0.0011604379909545346
1160,nm0000612,Denise Richards,0.0011604379909545346
4673,nm1102577,Elle Fanning,0.0011604379909545346
4686,nm0177896,Bradley Cooper,0.0011604379909545346
5480,nm0252961,Idris Elba,0.0011604379909545346
3006,nm0936403,Ray Wise,0.0011604379909545346
10427,nm4535518,Mindy Robinson,0.0011604379909545346
2939,nm0000867,Jason Bateman,0.0011604379909545346
302,nm0000649,Paul Sorvino,0.0011604379909545346
3400,nm0048075,Manoj Bajpayee,0.0011604379909545346
